summary_time,moor_num,berth_num,stay_num,moor_dwt,berth_dwt,stay_dwt,total_wait_duration,total_berth_duration,total_stay_duration
2021-01-01 00:00:00+08,12,10,22,994900,1078838,2073738,770.64,367.58,1138.22
2021-01-01 04:00:00+08,10,8,18,825524,944498,1770022,716.76,363.94,1080.7
2021-01-01 08:00:00+08,14,8,22,1235106,944498,2179604,772.2,395.94,1168.14
2021-01-01 12:00:00+08,14,8,22,1235106,944498,2179604,828.2,427.94,1256.14
2021-01-01 16:00:00+08,14,8,22,1235106,944498,2179604,884.2,459.94,1344.14
2021-01-01 20:00:00+08,16,8,24,1442324,944498,2386822,942.52,491.94,1434.46
2021-01-02 00:00:00+08,8,4,12,721162,472249,1193411,503.26,261.97,765.23
2021-01-02 04:00:00+08,8,5,13,721162,575863,1297025,535.28,281.69,816.97
2021-01-02 08:00:00+08,8,5,13,721162,575863,1297025,567.28,301.69,868.97
2021-01-02 12:00:00+08,8,5,13,721162,575863,1297025,599.28,321.69,920.97
2021-01-02 16:00:00+08,4,5,9,391188,575863,967051,422.14,341.69,763.83
2021-01-02 20:00:00+08,4,11,15,391188,1192194,1583382,654.71,368.45,1023.16
2021-01-03 00:00:00+08,4,12,16,391188,1242891,1634079,744.4,416.13,1160.53
2021-01-03 04:00:00+08,4,11,15,391188,1140030,1531218,760.41,358.68,1119.09
2021-01-03 08:00:00+08,4,11,15,391188,1140030,1531218,776.41,402.68,1179.09
2021-01-03 12:00:00+08,4,11,15,391188,1140030,1531218,792.41,446.68,1239.09
2021-01-03 16:00:00+08,5,7,12,548264,811526,1359790,652.1,388.52,1040.62
2021-01-03 20:00:00+08,5,7,12,548264,811526,1359790,672.1,416.52,1088.62
2021-01-04 00:00:00+08,5,7,12,548264,811526,1359790,692.1,444.52,1136.62
2021-01-04 04:00:00+08,3,7,10,394055,694056,1088111,501.14,266.92,768.06
2021-01-04 08:00:00+08,3,8,11,394055,744656,1138711,652.25,298.21,950.46
2021-01-04 12:00:00+08,3,8,11,394055,744656,1138711,664.25,330.21,994.46
2021-01-04 16:00:00+08,2,5,7,303667,416775,720442,303.76,103.86,407.62
2021-01-04 20:00:00+08,1,6,7,157076,507163,664239,475.52,125.41,600.93
2021-01-05 00:00:00+08,1,7,8,157076,653100,810176,479.52,158.43,637.95
2021-01-05 04:00:00+08,1,10,11,157076,885736,1042812,576.19,196.8,772.99
2021-01-05 08:00:00+08,3,12,15,234419,1038968,1273387,532.84,208.33,741.17
2021-01-05 12:00:00+08,3,11,14,234419,1025905,1260324,544.82,245.1,789.92
2021-01-05 16:00:00+08,3,12,15,234419,1114574,1348993,556.82,291.26,848.08
2021-01-05 20:00:00+08,3,11,14,234419,1059180,1293599,429.7,256.63,686.33
2021-01-06 00:00:00+08,3,9,12,354256,896798,1251054,424.3,205.51,629.81
2021-01-06 04:00:00+08,3,11,14,354256,1026370,1380626,456.84,244.34,701.18
2021-01-06 08:00:00+08,3,12,15,354256,1147304,1501560,468.86,288.86,757.72
2021-01-06 12:00:00+08,3,13,16,354256,1294096,1648352,480.85,340.76,821.61
2021-01-06 16:00:00+08,3,10,13,354256,1091715,1445971,492.86,282.44,775.3
2021-01-06 20:00:00+08,3,9,12,354256,927046,1281302,504.88,233.68,738.56
2021-01-07 00:00:00+08,3,13,16,354256,1181514,1535770,516.86,306.92,823.78
