summary_time,moor_num,berth_num,stay_num,moor_dwt,berth_dwt,stay_dwt,total_moor_duration,total_berth_duration,total_stay_duration,average_moor_duration,average_berth_duration,average_stay_duration
2020-01-02 16:00:00+00:00,11,0,11,1333989,0,1333989,454.11999999999995,0.0,454.11999999999995,41.28363636363636,0.0,41.28363636363636
2020-01-02 20:00:00+00:00,13,0,13,1521267,0,1521267,502.52,0.0,502.52,38.65538461538461,0.0,38.65538461538461
2020-01-03 00:00:00+00:00,13,0,13,1521267,0,1521267,554.52,0.0,554.52,42.65538461538461,0.0,42.65538461538461
2020-01-03 04:00:00+00:00,12,0,12,1219739,0,1219739,550.68,0.0,550.68,45.88999999999999,0.0,45.88999999999999
2020-01-03 08:00:00+00:00,12,1,13,1252802,49828,1302630,580.96,0.09,581.05,48.413333333333334,0.09,44.69615384615384
2020-01-03 12:00:00+00:00,11,1,12,1190113,49828,1239941,561.07,4.09,565.1600000000001,51.00636363636364,4.09,47.09666666666667
2020-01-03 16:00:00+00:00,10,1,11,1077081,49828,1126909,581.82,8.09,589.9100000000001,58.182,8.09,53.62818181818182
2020-01-03 20:00:00+00:00,10,1,11,1077081,49828,1126909,621.82,12.09,633.9100000000001,62.182,12.09,57.62818181818182
2020-01-04 00:00:00+00:00,9,1,10,994799,49828,1044627,581.95,16.09,598.04,64.66111111111111,16.09,59.803999999999995
2020-01-04 04:00:00+00:00,9,1,10,994799,49828,1044627,617.95,20.09,638.04,68.66111111111111,20.09,63.803999999999995
2020-01-04 08:00:00+00:00,9,1,10,994799,49828,1044627,653.95,24.09,678.04,72.66111111111111,24.09,67.804
2020-01-04 12:00:00+00:00,9,1,10,994799,49828,1044627,689.95,28.09,718.04,76.66111111111111,28.09,71.804
2020-01-04 16:00:00+00:00,9,4,13,994799,152917,1147716,725.95,36.34,762.3,80.66111111111111,9.085,58.638461538461534
2020-01-04 20:00:00+00:00,10,5,15,1136539,220062,1356601,765.83,56.290000000000006,822.11,76.583,11.258000000000001,54.80733333333333
2020-01-05 00:00:00+00:00,11,6,17,1221329,257423,1478752,807.1600000000001,77.87,885.02,73.37818181818183,12.978333333333333,52.06
2020-01-05 04:00:00+00:00,11,4,15,1138867,178315,1317182,747.73,76.47,824.21,67.97545454545455,19.1175,54.94733333333333
2020-01-05 08:00:00+00:00,11,4,15,1138867,178315,1317182,791.73,92.47000000000001,884.21,71.97545454545455,23.117500000000003,58.94733333333333
2020-01-05 12:00:00+00:00,11,2,13,1138867,115809,1254676,835.73,74.10000000000001,909.84,75.97545454545455,37.050000000000004,69.98769230769231
2020-01-05 16:00:00+00:00,10,1,11,1075404,34677,1110081,759.82,1.98,761.8,75.982,1.98,69.25454545454545
2020-01-05 20:00:00+00:00,10,1,11,1075404,34677,1110081,799.8199999999999,5.98,805.8,79.982,5.98,73.25454545454545
2020-01-06 00:00:00+00:00,10,1,11,1075404,34677,1110081,839.82,9.98,849.8000000000001,83.982,9.98,77.25454545454546
2020-01-06 04:00:00+00:00,10,0,10,1157797,0,1157797,799.38,0.0,799.38,79.938,0.0,79.938
2020-01-06 08:00:00+00:00,9,0,9,1278478,0,1278478,673.46,0.0,673.46,74.8288888888889,0.0,74.8288888888889
2020-01-06 12:00:00+00:00,9,0,9,1278478,0,1278478,709.46,0.0,709.46,78.8288888888889,0.0,78.8288888888889
2020-01-06 16:00:00+00:00,9,0,9,1278478,0,1278478,745.46,0.0,745.46,82.8288888888889,0.0,82.8288888888889
2020-01-06 20:00:00+00:00,9,0,9,1210984,0,1210984,729.71,0.0,729.71,81.0788888888889,0.0,81.0788888888889
2020-01-07 00:00:00+00:00,9,0,9,1210984,0,1210984,765.71,0.0,765.71,85.0788888888889,0.0,85.0788888888889
2020-01-07 04:00:00+00:00,10,0,10,1324822,0,1324822,802.96,0.0,802.96,80.296,0.0,80.296
2020-01-07 08:00:00+00:00,10,0,10,1324822,0,1324822,842.96,0.0,842.96,84.296,0.0,84.296
2020-01-07 12:00:00+00:00,10,0,10,1324822,0,1324822,882.96,0.0,882.96,88.296,0.0,88.296
2020-01-07 16:00:00+00:00,10,1,11,1324822,127447,1452269,922.96,2.11,925.07,92.296,2.11,84.09727272727274
2020-01-07 20:00:00+00:00,10,2,12,1324822,161088,1485910,962.96,7.220000000000001,970.1800000000001,96.296,3.6100000000000003,80.84833333333334
2020-01-08 00:00:00+00:00,10,2,12,1324822,161088,1485910,1002.96,15.219999999999999,1018.1800000000001,100.296,7.609999999999999,84.84833333333334
2020-01-08 04:00:00+00:00,10,2,12,1324822,161088,1485910,1042.96,23.22,1066.18,104.296,11.61,88.84833333333334
2020-01-08 08:00:00+00:00,10,2,12,1324822,161088,1485910,1082.96,31.22,1114.18,108.296,15.61,92.84833333333334
2020-01-08 12:00:00+00:00,11,1,12,1399151,127447,1526598,1123.68,22.11,1145.79,102.15272727272728,22.11,95.4825
2020-01-08 16:00:00+00:00,11,3,14,1399151,276153,1675304,1167.68,30.55,1198.23,106.15272727272728,10.183333333333334,85.58785714285715
2020-01-08 20:00:00+00:00,11,3,14,1399151,276153,1675304,1211.68,42.55,1254.23,110.15272727272728,14.183333333333332,89.58785714285715
2020-01-09 00:00:00+00:00,11,3,14,1518262,276153,1794415,1081.21,54.55,1135.76,98.29181818181819,18.183333333333334,81.12571428571428
2020-01-09 04:00:00+00:00,10,0,10,1204272,0,1204272,921.23,0.0,921.23,92.123,0.0,92.123
2020-01-09 08:00:00+00:00,10,1,11,1204272,155374,1359646,961.23,3.11,964.35,96.123,3.11,87.66818181818182
2020-01-09 12:00:00+00:00,9,1,10,1130488,155374,1285862,789.3299999999999,7.11,796.4499999999999,87.70333333333332,7.11,79.645
2020-01-09 16:00:00+00:00,9,2,11,1130488,189831,1320319,825.3299999999999,12.94,838.28,91.70333333333332,6.47,76.20727272727272
2020-01-09 20:00:00+00:00,9,2,11,1130488,189831,1320319,861.3299999999999,20.939999999999998,882.28,95.70333333333332,10.469999999999999,80.20727272727272
2020-01-10 00:00:00+00:00,8,2,10,937440,189831,1127271,869.4,28.939999999999998,898.34,108.675,14.469999999999999,89.834
2020-01-10 04:00:00+00:00,8,2,10,937440,348422,1285862,901.4,26.36,956.45,112.675,13.18,95.64500000000001
2020-01-10 08:00:00+00:00,8,2,10,937440,348422,1285862,933.4,34.36,996.45,116.675,17.18,99.64500000000001
2020-01-10 12:00:00+00:00,10,3,13,1284678,399796,1684474,972.54,44.61,1045.85,97.25399999999999,14.87,80.44999999999999
2020-01-10 16:00:00+00:00,10,4,14,1284678,466373,1751051,1012.54,58.74,1099.96,101.25399999999999,14.685,78.56857142857143
2020-01-10 20:00:00+00:00,10,4,14,1284678,466373,1751051,1052.54,74.74,1155.96,105.25399999999999,18.685,82.56857142857143
2020-01-11 00:00:00+00:00,10,5,15,1284678,582366,1867044,1092.54,92.8,1214.02,109.25399999999999,18.56,80.93466666666667
2020-01-11 04:00:00+00:00,11,6,17,1366938,629019,1995957,1135.99,113.77000000000001,1278.44,103.27181818181818,18.96166666666667,75.20235294117647
2020-01-11 08:00:00+00:00,11,6,17,1366938,629019,1995957,1179.99,137.77,1346.44,107.27181818181818,22.96166666666667,79.20235294117647
2020-01-11 12:00:00+00:00,11,5,16,1366938,562442,1929380,1223.9899999999998,139.64,1392.33,111.27181818181816,27.927999999999997,87.020625
2020-01-11 16:00:00+00:00,11,6,17,1398104,457575,1855679,1193.95,75.24,1297.87,108.5409090909091,12.54,76.34529411764706
2020-01-11 20:00:00+00:00,10,5,15,1284266,264527,1548793,1124.6999999999998,55.98,1180.6899999999998,112.46999999999998,11.196,78.71266666666665
2020-01-12 00:00:00+00:00,10,5,15,1284266,264527,1548793,1164.7,75.98,1240.6899999999998,116.47,15.196000000000002,82.71266666666665
2020-01-12 04:00:00+00:00,10,3,13,1284266,318061,1602327,1204.6999999999998,56.26,1260.96,120.46999999999998,18.753333333333334,96.99692307692308
2020-01-12 08:00:00+00:00,11,3,14,1398234,318061,1716295,1244.92,68.26,1313.1799999999998,113.17454545454547,22.753333333333334,93.79857142857142
2020-01-12 12:00:00+00:00,11,3,14,1398234,318061,1716295,1288.92,80.26,1369.18,117.17454545454547,26.753333333333334,97.79857142857144
2020-01-12 16:00:00+00:00,10,4,14,1347406,364688,1712094,1108.58,94.27000000000001,1202.85,110.85799999999999,23.567500000000003,85.91785714285713
2020-01-12 20:00:00+00:00,10,4,14,1347406,364688,1712094,1148.58,110.27,1258.85,114.85799999999999,27.5675,89.91785714285713
2020-01-13 00:00:00+00:00,9,3,12,1314158,318035,1632193,1125.32,81.30000000000001,1206.62,125.03555555555555,27.100000000000005,100.55166666666666
2020-01-13 04:00:00+00:00,9,3,12,1314158,318035,1632193,1161.32,93.3,1254.62,129.03555555555556,31.099999999999998,104.55166666666666
2020-01-13 08:00:00+00:00,10,3,13,1436268,318035,1754303,1197.6,105.30000000000001,1302.9,119.75999999999999,35.1,100.22307692307693
2020-01-13 12:00:00+00:00,10,3,13,1398038,318035,1716073,1036.99,117.3,1154.29,103.699,39.1,88.79153846153847
2020-01-13 16:00:00+00:00,12,4,16,1603075,384206,1987281,1078.76,130.71,1209.48,89.89666666666666,32.6775,75.5925
2020-01-13 20:00:00+00:00,12,3,15,1603075,228791,1831866,1126.76,105.48,1232.24,93.89666666666666,35.160000000000004,82.14933333333333
2020-01-14 00:00:00+00:00,11,4,15,1567128,257346,1824474,1160.31,120.91999999999999,1281.23,105.48272727272727,30.229999999999997,85.41533333333334
2020-01-14 04:00:00+00:00,11,4,15,1575106,177300,1752406,1030.72,62.85,1108.03,93.70181818181818,15.7125,73.86866666666667
2020-01-14 08:00:00+00:00,12,4,16,1642077,177300,1819377,1077.67,78.85,1170.98,89.80583333333334,19.7125,73.18625
2020-01-14 12:00:00+00:00,12,4,16,1642077,177300,1819377,1125.67,94.85,1234.98,93.80583333333334,23.7125,77.18625
2020-01-14 16:00:00+00:00,11,3,14,1559817,191949,1751766,1086.21,38.160000000000004,1138.84,98.74636363636364,12.72,81.34571428571428
2020-01-14 20:00:00+00:00,12,4,16,1876496,241777,2118273,1132.32,52.51,1199.31,94.36,13.1275,74.956875
2020-01-15 00:00:00+00:00,12,4,16,1876496,241777,2118273,1180.32,68.51,1263.31,98.36,17.1275,78.956875
2020-01-15 04:00:00+00:00,12,4,16,1876496,241777,2118273,1228.32,84.51,1327.31,102.36,21.1275,82.956875
2020-01-15 08:00:00+00:00,12,5,17,1876496,260699,2137195,1276.32,100.66,1391.4599999999998,106.36,20.131999999999998,81.85058823529411
2020-01-15 12:00:00+00:00,11,7,18,1754386,511370,2265756,1272.04,120.91,1459.47,115.64,17.27285714285714,81.08166666666666
2020-01-15 16:00:00+00:00,10,8,18,1687415,654701,2342116,1281.09,109.05000000000001,1490.0,128.10899999999998,13.631250000000001,82.77777777777777
2020-01-15 20:00:00+00:00,10,8,18,1687415,654701,2342116,1321.09,141.05,1562.0,132.10899999999998,17.63125,86.77777777777777
2020-01-16 00:00:00+00:00,12,8,20,1832023,654701,2486724,1363.99,173.05,1636.9,113.66583333333334,21.63125,81.845
2020-01-16 04:00:00+00:00,12,6,18,1832023,507218,2339241,1411.99,168.85999999999999,1680.71,117.66583333333334,28.14333333333333,93.37277777777778
2020-01-16 08:00:00+00:00,13,6,19,1991062,507218,2498280,1460.25,192.85999999999999,1752.97,112.32692307692308,32.14333333333333,92.26157894736842
2020-01-16 12:00:00+00:00,12,5,17,1917118,379771,2296889,1132.35,170.14,1402.33,94.3625,34.028,82.49
2020-01-16 16:00:00+00:00,13,6,19,1951795,454094,2405889,1182.75,192.82999999999998,1475.42,90.98076923076923,32.13833333333333,77.65368421052632
2020-01-16 20:00:00+00:00,13,6,19,1951795,492476,2444271,1234.75,150.59,1470.72,94.98076923076923,25.098333333333333,77.40631578947368
2020-01-17 00:00:00+00:00,14,5,19,1989439,425505,2414944,1289.67,140.95,1482.69,92.11928571428572,28.189999999999998,78.03631578947369
2020-01-17 04:00:00+00:00,14,5,19,1989439,425505,2414944,1345.67,160.95,1558.69,96.11928571428572,32.19,82.03631578947369
2020-01-17 08:00:00+00:00,14,6,20,1989439,475333,2464772,1401.67,183.04,1636.78,100.11928571428572,30.506666666666664,81.839
2020-01-17 12:00:00+00:00,14,8,22,1957888,676442,2634330,1315.22,209.19,1576.48,93.94428571428571,26.14875,71.65818181818182
2020-01-17 16:00:00+00:00,15,10,25,2072702,846773,2919475,1371.3700000000001,246.26,1669.69,91.42466666666668,24.625999999999998,66.7876
2020-01-17 20:00:00+00:00,15,10,25,2072702,846773,2919475,1431.3700000000001,286.26,1769.69,95.42466666666668,28.625999999999998,70.7876
2020-01-18 00:00:00+00:00,16,11,27,2115819,913298,3029117,1494.8700000000001,326.96999999999997,1873.9,93.42937500000001,29.724545454545453,69.40370370370371
2020-01-18 04:00:00+00:00,15,9,24,1956933,724395,2681328,1450.0900000000001,292.55,1742.65,96.67266666666667,32.50555555555556,72.61041666666667
2020-01-18 08:00:00+00:00,16,9,25,2026617,724395,2751012,1510.78,328.55,1839.3400000000001,94.42375,36.50555555555556,73.5736
