summary_time,moor_num,berth_num,stay_num,moor_dwt,berth_dwt,stay_dwt,total_moor_duration,total_berth_duration,total_stay_duration,average_moor_duration,average_berth_duration,average_stay_duration
2021-01-01 00:00:00+00:00,30,34,64,2643854,3230068,5873922,2742.36,1842.3600000000001,7617.14,91.412,54.18705882352941,119.0178125
2021-01-01 04:00:00+00:00,30,28,58,2643854,3116646,5760500,2862.36,1536.88,7144.18,95.412,54.88857142857143,123.17551724137931
2021-01-01 08:00:00+00:00,34,28,62,2911912,3116646,6028558,2989.6,1648.8799999999999,7383.42,87.92941176470588,58.888571428571424,119.08741935483872
2021-01-01 12:00:00+00:00,32,28,60,2525816,3219262,5745078,3068.2400000000002,1698.48,7568.900000000001,95.88250000000001,60.660000000000004,126.14833333333334
2021-01-01 16:00:00+00:00,16,14,30,1262908,1609631,2872539,1598.1200000000001,905.24,3904.45,99.88250000000001,64.66,130.14833333333334
2021-01-01 20:00:00+00:00,16,14,30,1227486,1557790,2785276,1443.97,942.84,4006.68,90.248125,67.3457142857143,133.55599999999998
2021-01-02 00:00:00+00:00,16,14,30,1227486,1557790,2785276,1507.97,998.84,4126.68,94.248125,71.3457142857143,137.556
2021-01-02 04:00:00+00:00,16,14,30,1227486,1557790,2785276,1571.97,1054.8400000000001,4246.68,98.248125,75.3457142857143,141.556
2021-01-02 08:00:00+00:00,16,14,30,1227486,1557790,2785276,1635.97,1110.84,4366.68,102.248125,79.34571428571428,145.556
2021-01-02 12:00:00+00:00,15,14,29,1116171,1557790,2673961,1656.8000000000002,1166.84,4443.52,110.45333333333335,83.34571428571428,153.2248275862069
2021-01-02 16:00:00+00:00,12,17,29,905328,1612632,2517960,1533.2800000000002,1201.7,4462.4400000000005,127.77333333333335,70.68823529411765,153.87724137931036
2021-01-02 20:00:00+00:00,11,18,29,790514,1727446,2517960,1493.3300000000002,1272.0,4578.44,135.75727272727275,70.66666666666667,157.87724137931033
