summary_time,moor_num,berth_num,stay_num,moor_dwt,berth_dwt,stay_dwt,total_moor_duration,total_berth_duration,total_stay_duration,average_moor_duration,average_berth_duration,average_stay_duration
2020-01-02 16:00:00+00:00,55,32,87,521730,510317,1032047,1264.87,351.1,1674.99,22.99763636363636,10.971875,19.252758620689654
2020-01-02 20:00:00+00:00,53,39,92,521572,593096,1114668,1372.98,444.49,1882.28,25.905283018867927,11.397179487179487,20.459565217391305
2020-01-03 00:00:00+00:00,51,48,99,483478,793701,1277179,1437.9499999999998,505.18,2045.67,28.195098039215683,10.524583333333334,20.663333333333334
2020-01-03 04:00:00+00:00,48,44,92,424377,609894,1034271,1343.04,448.82,1941.16,27.98,10.200454545454546,21.099565217391305
2020-01-03 08:00:00+00:00,52,47,99,437620,612110,1049730,1388.4299999999998,474.53999999999996,2047.9,26.70057692307692,10.096595744680851,20.685858585858586
2020-01-03 12:00:00+00:00,55,56,111,447428,676876,1124304,1494.48,432.68,2134.32,27.172363636363638,7.726428571428571,19.22810810810811
2020-01-03 16:00:00+00:00,53,52,105,484233,772145,1256378,1498.54,465.13,2075.35,28.27433962264151,8.944807692307693,19.765238095238093
2020-01-03 20:00:00+00:00,52,56,108,442593,770959,1213552,1646.33,555.3399999999999,2321.21,31.660192307692306,9.916785714285712,21.492685185185184
2020-01-04 00:00:00+00:00,59,63,122,470912,996139,1467051,1827.13,664.38,2625.19,30.968305084745765,10.545714285714286,21.51795081967213
2020-01-04 04:00:00+00:00,60,54,114,458017,841279,1299296,1971.3899999999999,651.2099999999999,2760.64,32.8565,12.059444444444443,24.216140350877193
2020-01-04 08:00:00+00:00,57,54,111,473060,1074847,1547907,2010.1499999999999,700.8100000000001,2855.14,35.26578947368421,12.977962962962964,25.72198198198198
2020-01-04 12:00:00+00:00,58,56,114,462930,1060567,1523497,2007.4199999999998,726.98,2848.2999999999997,34.61068965517241,12.981785714285715,24.985087719298242
2020-01-04 16:00:00+00:00,57,54,111,492689,813042,1305731,1897.2400000000002,573.44,2620.82,33.28491228070176,10.61925925925926,23.61099099099099
2020-01-04 20:00:00+00:00,59,55,114,500265,824584,1324849,2088.7200000000003,712.49,2975.68,35.40203389830509,12.954363636363636,26.102456140350874
