summary_time,moor_num,berth_num,stay_num,moor_dwt,berth_dwt,stay_dwt,total_moor_duration,total_berth_duration,total_stay_duration,average_moor_duration,average_berth_duration,average_stay_duration
2021-01-01 00:00:00+00:00,52,160,212,735172,2826218,3561390,1407.2,2439.3399999999997,4162.88,27.06153846153846,15.245874999999998,19.63622641509434
2021-01-01 04:00:00+00:00,48,162,210,761742,2994580,3756322,1496.28,2651.14,4732.6,31.1725,16.365061728395062,22.536190476190477
2021-01-01 08:00:00+00:00,44,172,216,862146,3057078,3919224,1570.02,2902.92,5042.52,35.682272727272725,16.877441860465115,23.345000000000002
2021-01-01 12:00:00+00:00,50,160,210,932256,2545658,3477914,1717.04,2966.3999999999996,5199.9,34.3408,18.54,24.76142857142857
2021-01-01 16:00:00+00:00,24,80,104,332443,1324512,1656955,847.68,1525.06,2695.0899999999997,35.32,19.06325,25.91432692307692
2021-01-01 20:00:00+00:00,22,84,106,330297,1128798,1459095,907.08,1713.43,2954.16,41.230909090909094,20.397976190476193,27.86943396226415
2021-01-02 00:00:00+00:00,19,82,101,281568,1244321,1525889,887.27,1758.4399999999998,3024.91,46.69842105263158,21.444390243902436,29.94960396039604
2021-01-02 04:00:00+00:00,15,81,96,253994,1255833,1509827,879.84,1871.52,3170.1,58.656,23.105185185185185,33.021875
2021-01-02 08:00:00+00:00,16,76,92,293384,1284411,1577795,753.0899999999999,1778.97,2879.58,47.068124999999995,23.4075,31.29978260869565
2021-01-02 12:00:00+00:00,18,66,84,225124,988560,1213684,485.92999999999995,1396.13,2176.05,26.99611111111111,21.15348484848485,25.905357142857145
2021-01-02 16:00:00+00:00,16,74,90,161238,1064787,1226025,437.39000000000004,1377.54,2205.1,27.336875000000003,18.615405405405404,24.50111111111111
2021-01-02 20:00:00+00:00,16,82,98,169885,1194370,1364255,496.62,1315.47,2141.36,31.03875,16.042317073170732,21.85061224489796
2021-01-03 00:00:00+00:00,15,72,87,164887,1308814,1473701,546.19,1393.98,2204.95,36.412666666666674,19.360833333333332,25.344252873563217
2021-01-03 04:00:00+00:00,13,68,81,243063,1365206,1608269,521.52,1351.6599999999999,2144.06,40.11692307692307,19.87735294117647,26.469876543209875
2021-01-03 08:00:00+00:00,14,47,61,159391,1259341,1418732,465.61,871.18,1405.35,33.25785714285714,18.535744680851064,23.038524590163934
2021-01-03 12:00:00+00:00,14,47,61,159391,1259341,1418732,521.61,1059.18,1649.35,37.25785714285714,22.535744680851064,27.038524590163934
2021-01-03 16:00:00+00:00,14,47,61,159391,1259341,1418732,577.61,1247.1799999999998,1893.35,41.25785714285714,26.53574468085106,31.038524590163934
2021-01-03 20:00:00+00:00,37,62,99,111155,1319912,1431067,657.62,1187.22,1966.54,17.773513513513514,19.148709677419355,19.864040404040402
2021-01-04 00:00:00+00:00,20,65,85,338438,1505768,1844206,645.3599999999999,1354.21,2121.3900000000003,32.267999999999994,20.834,24.95752941176471
2021-01-04 04:00:00+00:00,18,61,79,359719,1398352,1758071,631.87,1289.66,2068.62,35.10388888888889,21.141967213114757,26.18506329113924
2021-01-04 08:00:00+00:00,15,64,79,245966,1473623,1719589,590.46,1362.1599999999999,2211.5699999999997,39.364000000000004,21.283749999999998,27.994556962025314
2021-01-04 12:00:00+00:00,17,56,73,236885,1537563,1774448,576.15,1218.67,1998.25,33.891176470588235,21.76196428571429,27.373287671232877
2021-01-04 16:00:00+00:00,17,51,68,89474,1499221,1588695,515.8,1144.52,1929.16,30.341176470588234,22.44156862745098,28.37
2021-01-04 20:00:00+00:00,21,55,76,131454,1552568,1684022,430.3,1175.72,1859.45,20.49047619047619,21.376727272727273,24.466447368421054
2021-01-05 00:00:00+00:00,21,66,87,92496,1530205,1622701,472.31,1251.2,1973.66,22.490952380952383,18.957575757575757,22.685747126436784
2021-01-05 04:00:00+00:00,21,63,84,91476,1344524,1436000,525.96,1122.25,1836.59,25.045714285714286,17.813492063492063,21.864166666666666
2021-01-05 08:00:00+00:00,18,73,91,91161,1511275,1602436,556.53,1253.8899999999999,2018.8400000000001,30.918333333333333,17.176575342465753,22.185054945054947
2021-01-05 12:00:00+00:00,15,70,85,114516,1335228,1449744,427.55,1177.55,1744.96,28.503333333333334,16.822142857142858,20.52894117647059
2021-01-05 16:00:00+00:00,14,65,79,44092,1258068,1302160,465.69000000000005,1189.22,1872.51,33.26357142857143,18.29569230769231,23.7026582278481
2021-01-05 20:00:00+00:00,20,65,85,109265,1080798,1190063,535.08,1181.91,1939.6,26.754,18.18323076923077,22.818823529411763
2021-01-06 00:00:00+00:00,20,79,99,106240,1243799,1350039,573.24,1215.1100000000001,2009.66,28.662,15.38113924050633,20.299595959595962
2021-01-06 04:00:00+00:00,18,75,93,87260,1252819,1340079,586.5600000000001,1289.09,2106.67,32.58666666666667,17.187866666666665,22.65236559139785
2021-01-06 08:00:00+00:00,20,74,94,131910,1110813,1242723,645.57,1277.43,2071.66,32.2785,17.26256756756757,22.038936170212764
2021-01-06 12:00:00+00:00,16,84,100,168818,1198748,1367566,621.7700000000001,1299.37,2154.42,38.860625000000006,15.468690476190474,21.5442
2021-01-06 16:00:00+00:00,17,73,90,152444,1344145,1496589,680.3100000000001,1097.56,1912.8,40.01823529411765,15.035068493150684,21.253333333333334
2021-01-06 20:00:00+00:00,20,78,98,163849,1200308,1364157,753.01,1216.1100000000001,2086.37,37.6505,15.591153846153848,21.289489795918367
2021-01-07 00:00:00+00:00,21,80,101,178250,1214070,1392320,802.1600000000001,1247.42,2177.4700000000003,38.19809523809524,15.59275,21.55910891089109
2021-01-07 04:00:00+00:00,20,79,99,143499,1401549,1545048,780.3000000000001,1348.6,2270.37,39.015,17.070886075949367,22.933030303030304
2021-01-07 08:00:00+00:00,19,73,92,126777,1331622,1458399,838.6,1401.19,2394.62,44.136842105263156,19.194383561643836,26.028478260869566
2021-01-07 12:00:00+00:00,18,68,86,130048,1362952,1493000,729.36,1202.44,2071.36,40.52,17.68294117647059,24.08558139534884
2021-01-07 16:00:00+00:00,18,65,83,162906,1271177,1434083,784.1600000000001,1288.8799999999999,2204.38,43.56444444444445,19.828923076923076,26.558795180722893
2021-01-07 20:00:00+00:00,20,67,87,189322,1487139,1676461,836.82,1391.99,2361.44,41.841,20.77597014925373,27.142988505747127
2021-01-08 00:00:00+00:00,21,72,93,256823,1396909,1653732,879.38,1474.43,2508.6,41.875238095238096,20.478194444444444,26.974193548387095
2021-01-08 04:00:00+00:00,19,78,97,169539,1292170,1461709,863.8000000000001,1466.18,2478.36,45.463157894736845,18.797179487179488,25.550103092783505
2021-01-08 08:00:00+00:00,19,65,84,165761,1225312,1391073,881.86,1307.56,2326.4500000000003,46.41368421052632,20.116307692307693,27.695833333333336
2021-01-08 12:00:00+00:00,22,67,89,172386,1084669,1257055,863.25,1266.55,2279.63,39.23863636363637,18.90373134328358,25.613820224719102
2021-01-08 16:00:00+00:00,22,61,83,161128,1170858,1331986,769.5699999999999,1177.78,2095.83,34.98045454545454,19.307868852459016,25.250963855421684
2021-01-08 20:00:00+00:00,23,62,85,168410,1165910,1334320,853.05,1208.98,2279.31,37.089130434782604,19.49967741935484,26.815411764705882
2021-01-09 00:00:00+00:00,27,56,83,228647,937998,1166645,838.88,948.0600000000001,1960.96,31.06962962962963,16.92964285714286,23.626024096385542
2021-01-09 04:00:00+00:00,25,59,84,248776,779229,1028005,758.1,945.01,2065.65,30.324,16.017118644067796,24.59107142857143
2021-01-09 08:00:00+00:00,23,61,84,331468,974452,1305920,755.82,940.02,2020.8300000000002,32.861739130434785,15.41016393442623,24.0575
2021-01-09 12:00:00+00:00,25,64,89,452918,1064218,1517136,803.05,992.35,2132.84,32.122,15.50546875,23.964494382022473
2021-01-09 16:00:00+00:00,24,63,87,347369,1021931,1369300,815.95,1060.66,2161.17,33.99791666666667,16.835873015873016,24.841034482758623
2021-01-09 20:00:00+00:00,22,76,98,224541,1279027,1503568,871.24,1175.82,2263.77,39.60181818181818,15.471315789473683,23.09969387755102
2021-01-10 00:00:00+00:00,20,74,94,218677,1331903,1550580,907.7199999999999,1283.41,2417.1,45.385999999999996,17.34337837837838,25.71382978723404
2021-01-10 04:00:00+00:00,15,67,82,115295,1216622,1331917,836.0799999999999,1337.15,2396.57,55.73866666666666,19.957462686567165,29.22646341463415
2021-01-10 08:00:00+00:00,14,57,71,114495,1282297,1396792,839.48,1155.11,2291.7400000000002,59.962857142857146,20.265087719298243,32.278028169014085
2021-01-10 12:00:00+00:00,19,64,83,180287,1332253,1512540,842.64,1194.43,2311.57,44.34947368421052,18.66296875,27.850240963855423
2021-01-10 16:00:00+00:00,23,65,88,251256,1500053,1751309,870.32,1281.1000000000001,2462.1,37.84,19.70923076923077,27.97840909090909
2021-01-10 20:00:00+00:00,19,67,86,229451,1235379,1464830,865.63,1325.91,2470.82,45.55947368421052,19.789701492537315,28.73046511627907
2021-01-11 00:00:00+00:00,18,65,83,199896,1130966,1330862,868.31,1315.78,2483.8799999999997,48.239444444444445,20.24276923076923,29.92626506024096
2021-01-11 04:00:00+00:00,17,67,84,141956,1047951,1189907,908.91,1423.8799999999999,2604.95,53.465294117647055,21.25194029850746,31.011309523809523
2021-01-11 08:00:00+00:00,13,57,70,99903,929710,1029613,805.04,1255.81,2309.27,61.926153846153845,22.031754385964913,32.98957142857143
2021-01-11 12:00:00+00:00,17,62,79,147156,1133323,1280479,855.85,1256.0900000000001,2358.36,50.34411764705882,20.25951612903226,29.852658227848103
2021-01-11 16:00:00+00:00,16,58,74,151442,1199304,1350746,859.63,1240.1,2313.7599999999998,53.726875,21.38103448275862,31.267027027027023
2021-01-11 20:00:00+00:00,19,58,77,157344,1277772,1435116,928.6,1264.68,2589.66,48.873684210526314,21.804827586206898,33.63194805194805
2021-01-12 00:00:00+00:00,16,61,77,118643,1403763,1522406,954.02,1330.21,2681.8,59.62625,21.80672131147541,34.82857142857143
2021-01-12 04:00:00+00:00,11,69,80,105208,1367224,1472432,824.83,1387.64,2500.31,74.98454545454545,20.110724637681162,31.253875
2021-01-12 08:00:00+00:00,11,72,83,104412,1299395,1403807,614.0799999999999,1449.41,2461.01,55.82545454545454,20.130694444444444,29.650722891566268
