summary_time,moor_num,berth_num,stay_num,moor_dwt,berth_dwt,stay_dwt,total_moor_duration,total_berth_duration,total_stay_duration,average_moor_duration,average_berth_duration,average_stay_duration
2020-01-02 16:00:00+00:00,38,4,42,2408162,197563,2605725,1206.6499999999999,77.34,1301.46,31.75394736842105,19.335,30.987142857142857
2020-01-02 20:00:00+00:00,39,4,43,2461505,197563,2659068,1361.03,93.34,1471.8400000000001,34.89820512820513,23.335,34.22883720930233
2020-01-03 00:00:00+00:00,47,4,51,2764814,197563,2962377,1528.41,109.34,1655.25,32.51936170212766,27.335,32.455882352941174
2020-01-03 04:00:00+00:00,44,4,48,2724463,197563,2922026,1546.11,125.34,1689.04,35.13886363636363,31.335,35.18833333333333
2020-01-03 08:00:00+00:00,37,4,41,2379193,197563,2576756,1501.37,141.34,1660.33,40.57756756756756,35.335,40.49585365853658
2020-01-03 12:00:00+00:00,40,7,47,2536024,385778,2921802,1659.22,163.03,1862.74,41.4805,23.29,39.63276595744681
2020-01-03 16:00:00+00:00,35,8,43,2056614,493259,2549873,1428.56,194.74,1712.2,40.815999999999995,24.3425,39.818604651162794
2020-01-03 20:00:00+00:00,28,8,36,1484260,493259,1977519,1103.88,226.74,1419.54,39.424285714285716,28.3425,39.431666666666665
2020-01-04 00:00:00+00:00,25,9,34,1264929,606586,1871515,940.0899999999999,259.4,1320.79,37.6036,28.82222222222222,38.84676470588235
2020-01-04 04:00:00+00:00,25,11,36,1376809,803298,2180107,969.89,300.7,1408.0,38.7956,27.336363636363636,39.111111111111114
2020-01-04 08:00:00+00:00,23,9,32,1327002,726991,2053993,1027.33,264.2,1428.9099999999999,44.66652173913043,29.355555555555554,44.653437499999995
2020-01-04 12:00:00+00:00,20,10,30,1209037,732562,1941599,937.47,249.86,1325.03,46.8735,24.986,44.16766666666667
2020-01-04 16:00:00+00:00,21,9,30,1208817,617858,1826675,982.88,184.46,1256.67,46.80380952380953,20.495555555555555,41.889
2020-01-04 20:00:00+00:00,21,10,31,1177182,667854,1845036,1021.83,222.31,1402.96,48.65857142857143,22.231,45.25677419354839
2020-01-05 00:00:00+00:00,24,10,34,1265729,667854,1933583,1115.02,262.31,1536.14,46.45916666666667,26.231,45.180588235294124
2020-01-05 04:00:00+00:00,25,9,34,1303900,662082,1965982,1190.06,266.06,1597.06,47.602399999999996,29.56222222222222,46.97235294117647
2020-01-05 08:00:00+00:00,23,9,32,1187484,662082,1849566,1025.85,302.06,1468.85,44.60217391304347,33.562222222222225,45.9015625
2020-01-05 12:00:00+00:00,28,9,37,1439351,662082,2101433,1110.7,338.06,1589.8,39.667857142857144,37.562222222222225,42.96756756756756
2020-01-05 16:00:00+00:00,27,9,36,1371691,416324,1788015,1202.22,248.18,1519.8000000000002,44.52666666666667,27.575555555555557,42.21666666666667
2020-01-05 20:00:00+00:00,26,7,33,1150549,280101,1430650,1186.78,166.76,1446.88,45.645384615384614,23.822857142857142,43.84484848484849
2020-01-06 00:00:00+00:00,22,8,30,1051120,442086,1493206,997.33,166.23,1187.5,45.33318181818182,20.77875,39.583333333333336
2020-01-06 04:00:00+00:00,26,8,34,1272881,442086,1714967,1091.81,198.23,1313.8799999999999,41.99269230769231,24.77875,38.6435294117647
2020-01-06 08:00:00+00:00,26,8,34,1281596,487781,1769377,1189.15,216.01,1448.77,45.736538461538466,27.00125,42.610882352941175
2020-01-06 12:00:00+00:00,24,10,34,1086585,546244,1632829,1259.35,250.08999999999997,1560.29,52.47291666666666,25.008999999999997,45.890882352941176
2020-01-06 16:00:00+00:00,21,9,30,969337,491337,1460674,1061.48,178.68,1290.98,50.54666666666667,19.853333333333335,43.032666666666664
2020-01-06 20:00:00+00:00,23,10,33,1072332,518917,1591249,1152.2800000000002,214.7,1417.88,50.099130434782616,21.47,42.96606060606061
2020-01-07 00:00:00+00:00,21,15,36,1095917,848946,1944863,1182.42,235.58,1521.52,56.30571428571429,15.705333333333334,42.26444444444444
2020-01-07 04:00:00+00:00,24,19,43,1249395,976192,2225587,1270.59,243.07999999999998,1676.46,52.94125,12.793684210526315,38.98744186046512
2020-01-07 08:00:00+00:00,26,19,45,1350583,976192,2326775,1369.89,319.08000000000004,1851.7900000000002,52.68807692307693,16.79368421052632,41.15088888888889
2020-01-07 12:00:00+00:00,27,18,45,1385210,950417,2335627,1458.58,370.41999999999996,1991.83,54.02148148148148,20.578888888888887,44.26288888888889
2020-01-07 16:00:00+00:00,26,17,43,1357782,890285,2248067,1297.0,380.41999999999996,1856.8,49.88461538461539,22.377647058823527,43.181395348837206
2020-01-07 20:00:00+00:00,24,16,40,1092351,810932,1903283,1204.86,388.5,1880.26,50.20249999999999,24.28125,47.0065
2020-01-08 00:00:00+00:00,23,17,40,1044007,943606,1987613,1091.77,408.99,1789.68,47.46826086956521,24.058235294117647,44.742000000000004
2020-01-08 04:00:00+00:00,25,20,45,1117055,1115528,2232583,1187.55,486.32,2072.2,47.501999999999995,24.316,46.04888888888888
2020-01-08 08:00:00+00:00,25,20,45,1139177,1103961,2243138,1190.03,539.11,2088.44,47.6012,26.9555,46.40977777777778
2020-01-08 12:00:00+00:00,21,20,41,947467,1153205,2100672,1097.94,503.18999999999994,1960.47,52.28285714285715,25.159499999999998,47.81634146341464
2020-01-08 16:00:00+00:00,23,18,41,917828,916831,1834659,905.98,455.9,1705.48,39.39043478260869,25.327777777777776,41.597073170731704
2020-01-08 20:00:00+00:00,22,18,40,913617,987979,1901596,956.8299999999999,485.84999999999997,1665.01,43.49227272727273,26.991666666666664,41.62525
2020-01-09 00:00:00+00:00,23,20,43,1008016,1059818,2067834,931.5400000000001,442.99,1619.9,40.501739130434785,22.1495,37.67209302325582
2020-01-09 04:00:00+00:00,22,20,42,995254,1074448,2069702,976.72,493.46999999999997,1715.5199999999998,44.39636363636364,24.673499999999997,40.84571428571428
2020-01-09 08:00:00+00:00,22,19,41,1013900,1044292,2058192,1013.85,498.64,1795.4499999999998,46.08409090909091,26.24421052631579,43.791463414634144
2020-01-09 12:00:00+00:00,20,22,42,862416,1130068,1992484,863.7900000000001,554.54,1742.96,43.1895,25.206363636363633,41.49904761904762
2020-01-09 16:00:00+00:00,22,20,42,963180,923630,1886810,936.96,574.36,1811.46,42.58909090909091,28.718,43.13
2020-01-09 20:00:00+00:00,23,21,44,968715,988753,1957468,987.38,591.38,1878.78,42.92956521739131,28.16095238095238,42.69954545454545
2020-01-10 00:00:00+00:00,23,20,43,964406,976937,1941343,1012.76,550.67,1862.88,44.03304347826087,27.533499999999997,43.32279069767442
2020-01-10 04:00:00+00:00,26,18,44,1211676,888691,2100367,1071.94,497.08,1860.1799999999998,41.22846153846154,27.615555555555556,42.27681818181818
2020-01-10 08:00:00+00:00,24,19,43,1086947,913039,1999986,1041.48,522.84,1863.1699999999998,43.395,27.517894736842106,43.329534883720925
2020-01-10 12:00:00+00:00,23,21,44,995733,1007300,2003033,969.21,583.9,1862.9,42.13956521739131,27.804761904761904,42.33863636363637
2020-01-10 16:00:00+00:00,24,18,42,911484,810800,1722284,1016.5899999999999,457.81,1743.9,42.35791666666666,25.433888888888887,41.52142857142857
2020-01-10 20:00:00+00:00,22,18,40,893869,870133,1764002,983.14,510.74,1761.47,44.68818181818182,28.374444444444446,44.03675
2020-01-11 00:00:00+00:00,22,20,42,896832,900360,1797192,939.4,566.14,1870.05,42.699999999999996,28.307,44.525
2020-01-11 04:00:00+00:00,21,22,43,893116,927862,1820978,965.1,573.44,1843.01,45.957142857142856,26.065454545454546,42.8606976744186
2020-01-11 08:00:00+00:00,24,25,49,994722,1055069,2049791,1055.4799999999998,615.69,1969.2199999999998,43.978333333333325,24.6276,40.188163265306116
2020-01-11 12:00:00+00:00,26,25,51,1058758,1055069,2113827,1078.6399999999999,715.69,2092.45,41.48615384615384,28.6276,41.028431372549015
2020-01-11 16:00:00+00:00,26,22,48,983396,915886,1899282,1136.81,699.61,2108.13,43.723461538461535,31.800454545454546,43.919375
2020-01-11 20:00:00+00:00,19,23,42,787844,985320,1773164,983.01,695.05,2027.08,51.73736842105263,30.219565217391303,48.26380952380952
2020-01-12 00:00:00+00:00,20,28,48,834408,1214428,2048836,1061.7799999999997,792.35,2294.79,53.088999999999984,28.298214285714288,47.808125
2020-01-12 04:00:00+00:00,23,30,53,929717,1288806,2218523,1147.24,911.1899999999999,2521.84,49.88,30.372999999999998,47.581886792452835
2020-01-12 08:00:00+00:00,24,30,54,1094760,1279750,2374510,1237.67,986.19,2687.2799999999997,51.569583333333334,32.873000000000005,49.76444444444444
2020-01-12 12:00:00+00:00,23,27,50,1059009,1156433,2215442,1278.0,980.99,2718.68,55.56521739130435,36.33296296296297,54.373599999999996
2020-01-12 16:00:00+00:00,27,23,50,1164823,918098,2082921,1281.69,789.88,2402.8,47.47,34.342608695652174,48.056000000000004
2020-01-12 20:00:00+00:00,28,23,51,1034540,1018015,2052555,1146.66,652.08,2137.3599999999997,40.95214285714286,28.35130434782609,41.90901960784313
2020-01-13 00:00:00+00:00,22,26,48,800617,1213809,2014426,952.67,707.7900000000001,2111.69,43.30318181818182,27.22269230769231,43.993541666666665
2020-01-13 04:00:00+00:00,24,26,50,1021083,1251386,2272469,1043.74,723.88,2182.81,43.48916666666667,27.841538461538462,43.6562
2020-01-13 08:00:00+00:00,23,23,46,1090875,1127217,2218092,1107.75,694.37,2217.38,48.16304347826087,30.19,48.203913043478266
2020-01-13 12:00:00+00:00,20,25,45,965199,1178622,2143821,1149.44,753.8100000000001,2342.33,57.472,30.152400000000004,52.05177777777778
2020-01-13 16:00:00+00:00,22,26,48,1087338,1153644,2240982,1200.01,715.98,2383.7099999999996,54.54590909090909,27.537692307692307,49.66062499999999
2020-01-13 20:00:00+00:00,20,25,45,1118965,1081660,2200625,1224.48,587.04,2160.61,61.224000000000004,23.4816,48.013555555555556
2020-01-14 00:00:00+00:00,21,30,51,1168964,1297317,2466281,1304.89,694.99,2429.63,62.137619047619054,23.166333333333334,47.63980392156863
2020-01-14 04:00:00+00:00,21,31,52,1168964,1355177,2524141,1388.8899999999999,815.85,2634.49,66.13761904761904,26.317741935483873,50.663269230769224
2020-01-14 08:00:00+00:00,21,31,52,1168964,1355177,2524141,1472.89,939.8499999999999,2842.49,70.13761904761905,30.31774193548387,54.663269230769224
2020-01-14 12:00:00+00:00,21,31,52,1168964,1355177,2524141,1556.89,1063.85,3050.49,74.13761904761905,34.317741935483866,58.663269230769224
2020-01-14 16:00:00+00:00,28,31,59,1518264,1355177,2873441,1657.75,1187.85,3275.4,59.205357142857146,38.317741935483866,55.51525423728814
2020-01-14 20:00:00+00:00,30,28,58,1608256,1207158,2815414,1770.92,1150.51,3300.11,59.03066666666667,41.089642857142856,56.89844827586207
2020-01-15 00:00:00+00:00,32,25,57,1633733,1110015,2743748,1895.67,1154.61,3396.5099999999998,59.2396875,46.1844,59.5878947368421
