summary_time,moor_num,berth_num,stay_num,moor_dwt,berth_dwt,stay_dwt,total_moor_duration,total_berth_duration,total_stay_duration,average_moor_duration,average_berth_duration,average_stay_duration
2020-01-02 16:00:00+00:00,2,0,2,124551,0,124551,58.29,0.0,58.29,29.145,0.0,29.145
2020-01-02 20:00:00+00:00,1,0,1,49999,0,49999,51.85,0.0,51.85,51.85,0.0,51.85
2020-01-03 00:00:00+00:00,1,0,1,49999,0,49999,55.85,0.0,55.85,55.85,0.0,55.85
2020-01-03 04:00:00+00:00,2,0,2,124997,0,124997,63.54,0.0,63.54,31.77,0.0,31.77
2020-01-03 08:00:00+00:00,2,1,3,124997,15154,140151,71.54,0.92,72.46000000000001,35.77,0.92,24.153333333333336
2020-01-03 12:00:00+00:00,2,1,3,124997,15154,140151,79.53999999999999,4.92,84.46,39.769999999999996,4.92,28.153333333333332
2020-01-03 16:00:00+00:00,2,1,3,124997,15154,140151,87.53999999999999,8.92,96.46,43.769999999999996,8.92,32.15333333333333
2020-01-03 20:00:00+00:00,2,1,3,124997,15154,140151,95.53999999999999,12.92,108.46,47.769999999999996,12.92,36.15333333333333
2020-01-04 00:00:00+00:00,2,1,3,124997,15154,140151,103.53999999999999,16.92,120.46,51.769999999999996,16.92,40.15333333333333
2020-01-04 04:00:00+00:00,2,0,2,124997,0,124997,111.53999999999999,0.0,111.53999999999999,55.769999999999996,0.0,55.769999999999996
2020-01-04 08:00:00+00:00,2,0,2,124997,0,124997,119.53999999999999,0.0,119.53999999999999,59.769999999999996,0.0,59.769999999999996
2020-01-04 12:00:00+00:00,2,0,2,124997,0,124997,127.53999999999999,0.0,127.53999999999999,63.769999999999996,0.0,63.769999999999996
2020-01-04 16:00:00+00:00,2,1,3,124997,34375,159372,135.54,1.01,136.54999999999998,67.77,1.01,45.51666666666666
2020-01-04 20:00:00+00:00,2,1,3,124997,34375,159372,143.54,5.01,148.55,71.77,5.01,49.51666666666667
2020-01-05 00:00:00+00:00,2,1,3,124997,34375,159372,151.54,9.01,160.54999999999998,75.77,9.01,53.51666666666666
2020-01-05 04:00:00+00:00,3,0,3,175287,0,175287,159.75,0.0,159.75,53.25,0.0,53.25
2020-01-05 08:00:00+00:00,3,0,3,175287,0,175287,171.75,0.0,171.75,57.25,0.0,57.25
2020-01-05 12:00:00+00:00,2,1,3,125288,25145,150433,67.89,1.63,69.53,33.945,1.63,23.176666666666666
2020-01-05 16:00:00+00:00,2,2,4,125288,36845,162133,75.89,6.9399999999999995,82.84,37.945,3.4699999999999998,20.71
2020-01-05 20:00:00+00:00,2,2,4,125288,36845,162133,83.89,14.940000000000001,98.84,41.945,7.470000000000001,24.71
2020-01-06 00:00:00+00:00,2,2,4,125288,45341,170629,91.89,11.91,103.8,45.945,5.955,25.95
2020-01-06 04:00:00+00:00,2,1,3,125288,33641,158929,99.89,6.6,106.49,49.945,6.6,35.49666666666666
2020-01-06 08:00:00+00:00,2,1,3,125288,33641,158929,107.89,10.6,118.49,53.945,10.6,39.49666666666666
2020-01-06 12:00:00+00:00,2,1,3,125288,33641,158929,115.89,14.6,130.49,57.945,14.6,43.49666666666667
2020-01-06 16:00:00+00:00,3,1,4,175287,33641,208928,124.69,18.6,143.28,41.56333333333333,18.6,35.82
2020-01-06 20:00:00+00:00,2,1,3,100289,33641,133930,45.0,22.6,67.59,22.5,22.6,22.53
2020-01-07 00:00:00+00:00,2,1,3,100289,33641,133930,53.0,26.6,79.59,26.5,26.6,26.53
2020-01-07 04:00:00+00:00,1,2,3,49999,83931,133930,12.8,32.72,91.59,12.8,16.36,30.53
2020-01-07 08:00:00+00:00,1,2,3,49999,83931,133930,16.8,40.72,103.59,16.8,20.36,34.53
2020-01-07 12:00:00+00:00,1,2,3,49999,83931,133930,20.8,48.72,115.59,20.8,24.36,38.53
2020-01-07 16:00:00+00:00,1,2,3,49999,83931,133930,24.8,56.72,127.59,24.8,28.36,42.53
2020-01-07 20:00:00+00:00,1,1,2,49999,50290,100289,28.8,18.11,93.0,28.8,18.11,46.5
2020-01-08 00:00:00+00:00,1,0,1,49999,0,49999,32.8,0.0,32.8,32.8,0.0,32.8
2020-01-08 04:00:00+00:00,1,1,2,49999,34558,84557,36.8,3.85,40.65,36.8,3.85,20.325
2020-01-08 08:00:00+00:00,1,1,2,49999,34558,84557,40.8,7.85,48.65,40.8,7.85,24.325
2020-01-08 12:00:00+00:00,1,1,2,49999,34558,84557,44.8,11.85,56.65,44.8,11.85,28.325
2020-01-08 16:00:00+00:00,1,2,3,49999,52942,102941,48.8,17.34,66.14,48.8,8.67,22.046666666666667
2020-01-08 20:00:00+00:00,1,2,3,49999,52942,102941,52.8,25.340000000000003,78.14,52.8,12.670000000000002,26.046666666666667
2020-01-09 00:00:00+00:00,0,2,2,0,52942,52942,0.0,33.34,33.34,0.0,16.67,16.67
2020-01-09 16:00:00+00:00,1,1,2,39836,140637,180473,1.29,2.34,3.63,1.29,2.34,1.815
2020-01-09 20:00:00+00:00,1,1,2,39836,140637,180473,5.29,6.34,11.629999999999999,5.29,6.34,5.8149999999999995
2020-01-10 00:00:00+00:00,0,1,1,0,140637,140637,0.0,10.34,10.34,0.0,10.34,10.34
2020-01-10 04:00:00+00:00,0,2,2,0,172060,172060,0.0,17.99,17.99,0.0,8.995,8.995
2020-01-10 08:00:00+00:00,0,2,2,0,172060,172060,0.0,25.990000000000002,25.990000000000002,0.0,12.995000000000001,12.995000000000001
2020-01-10 12:00:00+00:00,0,2,2,0,172060,172060,0.0,33.99,33.99,0.0,16.995,16.995
2020-01-10 16:00:00+00:00,0,3,3,0,190925,190925,0.0,43.84,43.84,0.0,14.613333333333335,14.613333333333335
2020-01-10 20:00:00+00:00,0,3,3,0,190925,190925,0.0,55.839999999999996,55.839999999999996,0.0,18.613333333333333,18.613333333333333
2020-01-11 00:00:00+00:00,0,3,3,0,190925,190925,0.0,67.84,67.84,0.0,22.613333333333333,22.613333333333333
2020-01-11 04:00:00+00:00,0,3,3,0,238013,238013,0.0,69.82000000000001,69.82000000000001,0.0,23.273333333333337,23.273333333333337
2020-01-11 08:00:00+00:00,0,3,3,0,238013,238013,0.0,81.82,81.82,0.0,27.27333333333333,27.27333333333333
2020-01-11 12:00:00+00:00,0,3,3,0,238013,238013,0.0,93.82000000000001,93.82000000000001,0.0,31.273333333333337,31.273333333333337
2020-01-11 16:00:00+00:00,0,4,4,0,253323,253323,0.0,69.9,69.9,0.0,17.475,17.475
2020-01-11 20:00:00+00:00,0,4,4,0,253323,253323,0.0,85.9,85.9,0.0,21.475,21.475
2020-01-12 00:00:00+00:00,1,4,5,33421,253323,286744,2.47,101.9,104.37,2.47,25.475,20.874000000000002
2020-01-12 04:00:00+00:00,1,3,4,33421,240811,274232,6.47,103.82000000000001,110.29,6.47,34.60666666666667,27.5725
2020-01-12 08:00:00+00:00,1,4,5,33421,286880,320301,10.47,117.34,127.81,10.47,29.335,25.562
2020-01-12 12:00:00+00:00,1,4,5,33421,264359,297780,14.47,114.2,128.67000000000002,14.47,28.55,25.734
2020-01-12 16:00:00+00:00,1,2,3,33421,57769,91190,18.47,16.03,34.5,18.47,8.015,11.5
2020-01-12 20:00:00+00:00,1,2,3,33421,57769,91190,22.47,24.03,46.5,22.47,12.015,15.5
2020-01-13 00:00:00+00:00,1,1,2,33421,46069,79490,26.47,17.52,43.989999999999995,26.47,17.52,21.994999999999997
2020-01-13 04:00:00+00:00,1,2,3,33421,127071,160492,30.47,23.82,54.29,30.47,11.91,18.096666666666668
2020-01-13 08:00:00+00:00,1,3,4,33421,201400,234821,34.47,32.01,66.47999999999999,34.47,10.67,16.619999999999997
2020-01-13 12:00:00+00:00,1,3,4,33421,201400,234821,38.47,44.010000000000005,82.48,38.47,14.670000000000002,20.62
2020-01-13 16:00:00+00:00,1,4,5,33421,212252,245673,42.47,57.61,100.08,42.47,14.4025,20.016
2020-01-13 20:00:00+00:00,1,4,5,33421,212252,245673,46.47,73.61,120.08,46.47,18.4025,24.016
2020-01-14 00:00:00+00:00,0,4,4,0,212252,212252,0.0,89.61000000000001,89.61000000000001,0.0,22.402500000000003,22.402500000000003
2020-01-14 04:00:00+00:00,0,3,3,0,201400,201400,0.0,92.01,92.01,0.0,30.67,30.67
2020-01-14 08:00:00+00:00,0,3,3,0,201400,201400,0.0,104.01,104.01,0.0,34.67,34.67
2020-01-14 12:00:00+00:00,0,4,4,0,226150,226150,0.0,118.45,118.45,0.0,29.6125,29.6125
2020-01-14 16:00:00+00:00,0,5,5,0,260137,260137,0.0,136.38,136.38,0.0,27.276,27.276
2020-01-14 20:00:00+00:00,0,6,6,0,306764,306764,0.0,159.49,159.49,0.0,26.581666666666667,26.581666666666667
2020-01-15 00:00:00+00:00,1,7,8,48598,392633,441231,2.76,184.53,187.29,2.76,26.361428571428572,23.41125
2020-01-15 04:00:00+00:00,1,7,8,48598,392633,441231,6.76,212.53,219.29,6.76,30.361428571428572,27.41125
2020-01-15 08:00:00+00:00,1,7,8,48598,392633,441231,10.76,240.53,251.29,10.76,34.36142857142857,31.41125
2020-01-15 12:00:00+00:00,1,6,7,48598,318304,366902,14.76,216.34,231.1,14.76,36.056666666666665,33.01428571428571
2020-01-15 16:00:00+00:00,1,4,5,48598,247485,296083,18.76,128.38,147.14000000000001,18.76,32.095,29.428000000000004
2020-01-15 20:00:00+00:00,1,5,6,49999,296083,346082,2.71,145.7,169.86,2.71,29.139999999999997,28.310000000000002
2020-01-16 00:00:00+00:00,1,5,6,49999,296083,346082,6.71,165.7,193.86,6.71,33.14,32.31
2020-01-16 04:00:00+00:00,1,4,5,49999,285746,335745,10.71,77.35,109.50999999999999,10.71,19.3375,21.901999999999997
2020-01-16 08:00:00+00:00,1,4,5,49999,285746,335745,14.71,93.35,129.51,14.71,23.3375,25.901999999999997
2020-01-16 12:00:00+00:00,1,5,6,49999,327753,377752,18.71,109.99000000000001,150.15,18.71,21.998,25.025000000000002
2020-01-16 16:00:00+00:00,1,7,8,49999,596422,646421,22.71,90.87,135.03,22.71,12.981428571428571,16.87875
2020-01-16 20:00:00+00:00,1,7,8,49999,596422,646421,26.71,118.87,167.03,26.71,16.981428571428573,20.87875
2020-01-17 00:00:00+00:00,1,10,11,49999,923521,973520,30.71,149.05,201.21,30.71,14.905000000000001,18.291818181818183
2020-01-17 04:00:00+00:00,1,10,11,49999,868865,918864,34.71,139.81,195.97,34.71,13.981,17.815454545454546
2020-01-17 08:00:00+00:00,1,10,11,49999,868865,918864,38.71,179.81,239.97,38.71,17.981,21.815454545454546
2020-01-17 12:00:00+00:00,1,10,11,49999,868865,918864,42.71,219.81,283.97,42.71,21.981,25.815454545454546
2020-01-17 16:00:00+00:00,1,10,11,49999,868865,918864,46.71,259.81,327.97,46.71,25.981,29.815454545454546
2020-01-17 20:00:00+00:00,0,10,10,0,868865,868865,0.0,299.81,321.25,0.0,29.981,32.125
2020-01-18 00:00:00+00:00,1,11,12,46069,967714,1013783,2.32,339.9,363.66,2.32,30.9,30.305000000000003
2020-01-18 04:00:00+00:00,1,11,12,46069,967714,1013783,6.32,383.9,411.66,6.32,34.9,34.305
