summary_time,moor_num,berth_num,stay_num,moor_dwt,berth_dwt,stay_dwt,total_moor_duration,total_berth_duration,total_stay_duration,average_moor_duration,average_berth_duration,average_stay_duration
2021-01-01 00:00:00+00:00,202,138,340,9004758,8555772,17560530,26817.16,3644.88,33202.92,132.75821782178218,26.41217391304348,97.65564705882352
2021-01-01 04:00:00+00:00,188,144,332,7944124,10051088,17995212,26111.12,3558.36,32870.02,138.88893617021276,24.710833333333333,99.00608433734939
2021-01-01 08:00:00+00:00,184,142,326,8811518,9751058,18562576,25820.0,3676.92,32126.98,140.32608695652175,25.89380281690141,98.54901840490797
2021-01-01 12:00:00+00:00,198,136,334,8765966,9700078,18466044,24358.98,3697.58,31523.64,123.0251515151515,27.188088235294117,94.38215568862276
2021-01-01 16:00:00+00:00,106,75,181,4414438,5116306,9530744,12590.81,1977.09,16272.38,118.78122641509434,26.3612,89.90265193370165
2021-01-01 20:00:00+00:00,114,73,187,4415812,4934079,9349891,12942.0,2083.88,16645.72,113.52631578947368,28.546301369863016,89.01454545454546
2021-01-02 00:00:00+00:00,122,74,196,4705622,5108171,9813793,13272.9,2047.1399999999999,16922.11,108.79426229508196,27.664054054054052,86.33729591836735
2021-01-02 04:00:00+00:00,122,75,197,5003435,5202478,10205913,13443.34,2015.79,17296.03,110.19131147540983,26.8772,87.79710659898477
2021-01-02 08:00:00+00:00,119,76,195,5032200,5200082,10232282,13464.66,2069.43,17287.68,113.14840336134453,27.229342105263157,88.65476923076923
2021-01-02 12:00:00+00:00,115,81,196,4907064,5601308,10508372,13123.06,2042.96,17178.350000000002,114.1135652173913,25.221728395061728,87.64464285714287
2021-01-02 16:00:00+00:00,114,82,196,4855158,5342158,10197316,12393.28,2290.6800000000003,16768.59,108.71298245614035,27.935121951219514,85.5540306122449
2021-01-02 20:00:00+00:00,118,83,201,5018263,5125857,10144120,12538.75,2271.27,17005.27,106.26059322033899,27.364698795180722,84.60333333333334
2021-01-03 00:00:00+00:00,115,87,202,4960180,5359611,10319791,12600.5,2398.28,16772.01,109.5695652173913,27.566436781609198,83.02975247524752
2021-01-03 04:00:00+00:00,108,85,193,4947386,5248907,10196293,12444.74,2505.6400000000003,16767.1,115.22907407407408,29.478117647058827,86.8761658031088
2021-01-03 08:00:00+00:00,113,78,191,4952621,4261644,9214265,12628.34,2356.25,16787.5,111.75522123893805,30.208333333333332,87.89267015706807
2021-01-03 12:00:00+00:00,113,78,191,4952621,4261644,9214265,13080.34,2668.25,17551.5,115.75522123893805,34.208333333333336,91.89267015706807
2021-01-03 16:00:00+00:00,116,79,195,5108771,4303291,9412062,14179.28,2989.4100000000003,18971.73,122.23517241379311,37.84063291139241,97.29092307692308
2021-01-03 20:00:00+00:00,111,95,206,4646590,5588794,10235384,13256.25,2793.82,17923.420000000002,119.42567567567568,29.40863157894737,87.00689320388351
2021-01-04 00:00:00+00:00,110,89,199,4680488,5213931,9894419,11775.9,2651.25,16068.91,107.05363636363636,29.78932584269663,80.74829145728643
2021-01-04 04:00:00+00:00,113,93,206,4913723,5146016,10059739,11893.720000000001,2627.14,16365.0,105.25415929203541,28.248817204301073,79.44174757281553
2021-01-04 08:00:00+00:00,125,87,212,5561311,4531262,10092573,12254.75,2618.1,16732.39,98.038,30.093103448275862,78.9263679245283
2021-01-04 12:00:00+00:00,129,87,216,5764162,4728560,10492722,12378.05,2685.0899999999997,16916.55,95.95387596899224,30.863103448275858,78.31736111111111
2021-01-04 16:00:00+00:00,119,82,201,5324851,4478776,9803627,12524.24,2565.69,16830.3,105.24571428571429,31.28890243902439,83.73283582089552
2021-01-04 20:00:00+00:00,127,78,205,5594551,4347038,9941589,12722.77,2547.34,17030.04,100.17929133858269,32.65820512820513,83.07336585365854
2021-01-05 00:00:00+00:00,130,79,209,5269625,4536587,9806212,12926.58,2377.88,16867.75,99.43523076923077,30.09974683544304,80.70693779904306
2021-01-05 04:00:00+00:00,129,82,211,5405715,4919393,10325108,13248.85,2343.59,17208.989999999998,102.70426356589148,28.580365853658538,81.5591943127962
2021-01-05 08:00:00+00:00,125,75,200,5370882,4567643,9938525,12950.199999999999,2148.12,16703.91,103.60159999999999,28.641599999999997,83.51955
2021-01-05 12:00:00+00:00,130,76,206,5772789,4341429,10114218,13070.91,2009.37,16661.06,100.54546153846154,26.43907894736842,80.87893203883496
2021-01-05 16:00:00+00:00,123,86,209,5555077,4853661,10408738,13022.52,2078.7799999999997,16928.81,105.87414634146342,24.171860465116275,80.99909090909091
2021-01-05 20:00:00+00:00,129,89,218,5498764,4889405,10388169,13308.48,2198.9500000000003,17366.49,103.16651162790697,24.70730337078652,79.66279816513762
2021-01-06 00:00:00+00:00,134,85,219,5344881,4880364,10225245,13574.03,2161.41,17688.34,101.29873134328359,25.42835294117647,80.76867579908676
2021-01-06 04:00:00+00:00,129,81,210,5120415,4894632,10015047,13645.439999999999,2157.05,17607.45,105.77860465116278,26.630246913580248,83.845
2021-01-06 08:00:00+00:00,128,88,216,5385552,5220097,10605649,14027.35,2347.92,18292.010000000002,109.588671875,26.680909090909093,84.6852314814815
2021-01-06 12:00:00+00:00,127,87,214,5932685,5106461,11039146,13848.42,2346.32,17906.989999999998,109.04267716535433,26.96919540229885,83.67752336448598
2021-01-06 16:00:00+00:00,130,86,216,6236869,5092299,11329168,14109.51,2231.21,18152.54,108.53469230769231,25.944302325581397,84.03953703703704
2021-01-06 20:00:00+00:00,140,78,218,6472100,4821425,11293525,14427.74,2110.81,19131.47,103.05528571428572,27.061666666666667,87.75903669724771
2021-01-07 00:00:00+00:00,138,79,217,6062419,5141722,11204141,14779.820000000002,2221.53,19366.03,107.10014492753625,28.12063291139241,89.24437788018433
2021-01-07 04:00:00+00:00,131,77,208,6088175,5036467,11124642,14693.67,2236.1299999999997,19520.17,112.16541984732824,29.040649350649346,93.84697115384614
2021-01-07 08:00:00+00:00,128,76,204,5935135,4721974,10657109,14418.06,2176.63,19278.24,112.64109375,28.639868421052633,94.50117647058825
2021-01-07 12:00:00+00:00,116,90,206,5474386,5101584,10575970,13786.6,2323.18,19284.09,118.85000000000001,25.81311111111111,93.61208737864078
2021-01-07 16:00:00+00:00,120,88,208,5577431,4793213,10370644,13700.119999999999,2460.76,19224.269999999997,114.16766666666666,27.96318181818182,92.42437499999998
2021-01-07 20:00:00+00:00,123,87,210,5938400,4825951,10764351,13753.49,2405.6699999999996,19238.77,111.8169918699187,27.651379310344822,91.61319047619048
2021-01-08 00:00:00+00:00,113,86,199,5291267,4562807,9854074,13362.02,2502.02,18990.74,118.24796460176992,29.093255813953487,95.4308542713568
2021-01-08 04:00:00+00:00,116,91,207,5364884,5225052,10589936,13508.460000000001,2658.71,19367.0,116.45224137931035,29.216593406593407,93.56038647342996
2021-01-08 08:00:00+00:00,113,85,198,5135396,5047394,10182790,13641.42,2636.9500000000003,19392.83,120.72053097345133,31.022941176470592,97.94358585858586
2021-01-08 12:00:00+00:00,112,90,202,5016352,5195582,10211934,13400.48,2598.18,18451.81,119.64714285714285,28.868666666666666,91.34559405940595
2021-01-08 16:00:00+00:00,115,84,199,5421152,4989743,10410895,13855.52,2704.9199999999996,18843.53,120.48278260869566,32.201428571428565,94.69110552763819
2021-01-08 20:00:00+00:00,123,82,205,5592169,5189022,10781191,13735.49,2693.67,18270.65,111.67065040650407,32.849634146341465,89.12512195121953
2021-01-09 00:00:00+00:00,122,81,203,5501133,5105544,10606677,13973.95,2705.45,18725.02,114.5405737704918,33.400617283950616,92.24147783251232
2021-01-09 04:00:00+00:00,115,77,192,5383982,4397010,9780992,13723.08,2642.3900000000003,18364.98,119.33113043478261,34.31675324675325,95.6509375
2021-01-09 08:00:00+00:00,112,80,192,5412053,4381058,9793111,13625.81,2735.0,18232.61,121.65901785714286,34.1875,94.96151041666667
2021-01-09 12:00:00+00:00,112,82,194,5214634,4659361,9873995,13708.55,2550.27,17977.85,122.39776785714285,31.100853658536586,92.66932989690721
2021-01-09 16:00:00+00:00,115,78,193,5176336,4329300,9505636,12778.539999999999,2493.98,16918.54,111.11773913043477,31.974102564102566,87.66082901554405
2021-01-09 20:00:00+00:00,125,79,204,5351321,4139360,9490681,12987.58,2640.23,17458.11,103.90064,33.4206329113924,85.5789705882353
2021-01-10 00:00:00+00:00,113,75,188,4926368,3585721,8512089,12941.81,2454.34,17062.54,114.52929203539823,32.72453333333333,90.7581914893617
2021-01-10 04:00:00+00:00,111,84,195,4966031,3951169,8917200,12431.88,2660.45,17102.9,111.99891891891892,31.672023809523807,87.70717948717949
2021-01-10 08:00:00+00:00,113,81,194,5353925,3637347,8991272,11252.23,2714.92,15664.03,99.57725663716813,33.51753086419753,80.74242268041237
2021-01-10 12:00:00+00:00,113,83,196,5052843,4088958,9141801,11535.31,2797.2299999999996,15935.72,102.08238938053097,33.70156626506024,81.30469387755102
2021-01-10 16:00:00+00:00,108,84,192,5018173,4258543,9276716,11167.33,2882.1099999999997,15763.349999999999,103.4012037037037,34.31083333333333,82.10078125
2021-01-10 20:00:00+00:00,106,80,186,4993348,4141648,9134996,11458.36,2813.0299999999997,15951.13,108.0977358490566,35.162875,85.7587634408602
2021-01-11 00:00:00+00:00,104,76,180,4944018,4159571,9103589,11322.63,2704.8,15715.6,108.8714423076923,35.58947368421053,87.30888888888889
2021-01-11 04:00:00+00:00,103,79,182,5085429,4530596,9616025,11309.87,2724.2999999999997,16154.36,109.80456310679612,34.484810126582275,88.76021978021978
2021-01-11 08:00:00+00:00,107,72,179,4876975,4365412,9242387,11353.99,2660.76,15796.42,106.11205607476636,36.955000000000005,88.24815642458101
2021-01-11 12:00:00+00:00,103,77,180,4927475,5031689,9959164,11404.01,2728.44,15960.800000000001,110.71854368932038,35.434285714285714,88.67111111111112
2021-01-11 16:00:00+00:00,96,79,175,4888354,5066542,9954896,11412.0,2780.53,16033.31,118.875,35.19658227848102,91.61891428571428
2021-01-11 20:00:00+00:00,92,73,165,4706660,4705589,9412249,11475.74,2729.25,15994.32,124.73630434782608,37.386986301369866,96.93527272727273
2021-01-12 00:00:00+00:00,91,68,159,4574198,4318256,8892454,11440.01,2627.6000000000004,16511.85,125.7143956043956,38.64117647058824,103.84811320754716
2021-01-12 04:00:00+00:00,92,76,168,4694682,4702965,9397647,11363.36,2684.16,16611.41,123.51478260869565,35.317894736842106,98.87744047619047
2021-01-12 08:00:00+00:00,97,79,176,4733985,5127136,9861121,11707.380000000001,2850.22,17109.06,120.69463917525775,36.07873417721519,97.21056818181819
2021-01-12 12:00:00+00:00,96,86,182,4564447,5363354,9927801,11701.51,2905.0899999999997,17306.02,121.89072916666667,33.780116279069766,95.08802197802198
2021-01-12 16:00:00+00:00,94,80,174,4649155,5345828,9994983,11693.84,2738.3799999999997,16903.15,124.40255319148936,34.229749999999996,97.14454022988507
2021-01-12 20:00:00+00:00,105,75,180,4966024,4713230,9679254,11824.78,2636.9900000000002,16705.04,112.61695238095238,35.15986666666667,92.80577777777778
2021-01-13 00:00:00+00:00,104,80,184,5086921,4884614,9971535,11898.99,2844.78,17148.49,114.41336538461539,35.55975,93.19831521739131
2021-01-13 04:00:00+00:00,100,79,179,5107815,4589727,9697542,12023.66,2807.38,16434.14,120.2366,35.53645569620253,91.81083798882682
2021-01-13 08:00:00+00:00,92,88,180,4758642,4812870,9571512,11731.59,2882.54,16553.76,127.51728260869565,32.756136363636365,91.96533333333332
2021-01-13 12:00:00+00:00,94,86,180,5005965,4998105,10004070,12001.8,2997.15,16967.82,127.67872340425531,34.85058139534884,94.26566666666666
2021-01-13 16:00:00+00:00,99,81,180,5228541,4968417,10196958,11798.07,2942.75,16508.7,119.17242424242424,36.33024691358025,91.715
2021-01-13 20:00:00+00:00,101,82,183,5490645,4748805,10239450,12013.76,2941.24,16747.87,118.94811881188119,35.86878048780488,91.51841530054644
2021-01-14 00:00:00+00:00,105,81,186,5758097,4560640,10318737,12224.22,3075.9,17087.04,116.42114285714285,37.974074074074075,91.86580645161291
2021-01-14 04:00:00+00:00,100,81,181,5478057,4543530,10021587,12148.55,3033.38,16802.19,121.48549999999999,37.44913580246914,92.82977900552486
2021-01-14 08:00:00+00:00,104,81,185,5711046,4480930,10191976,12387.789999999999,3009.08,16816.39,119.11336538461538,37.14913580246913,90.8994054054054
2021-01-14 12:00:00+00:00,106,88,194,5624577,4853723,10478300,12508.26,3207.36,17217.34,118.00245283018869,36.447272727272725,88.74917525773196
2021-01-14 16:00:00+00:00,101,84,185,5500146,4869538,10369684,12621.199999999999,3186.97,17371.36,124.96237623762376,37.94011904761904,93.89924324324325
2021-01-14 20:00:00+00:00,101,80,181,5425644,5077110,10502754,12989.509999999998,3277.95,17785.41,128.6090099009901,40.974374999999995,98.26193370165745
2021-01-15 00:00:00+00:00,91,43,134,5285731,2464187,7749918,12796.33,2433.27,16249.19,140.619010989011,56.58767441860465,121.26261194029851
2021-01-15 04:00:00+00:00,89,41,130,5246815,2409739,7656554,12831.28,2321.77,15979.99,144.17168539325843,56.62853658536585,122.923
2021-01-15 08:00:00+00:00,88,40,128,5243079,2348503,7591582,13150.56,2419.83,16382.49,149.43818181818182,60.49575,127.988203125
2021-01-15 12:00:00+00:00,89,42,131,5247589,2422166,7669755,13505.8,2582.9900000000002,16900.94,151.7505617977528,61.49976190476191,129.01480916030533
2021-01-15 16:00:00+00:00,88,43,131,4908817,2284447,7193264,14157.460000000001,2633.34,17553.1,160.8802272727273,61.240465116279076,133.99312977099237
2021-01-15 20:00:00+00:00,88,44,132,4908817,2289446,7198263,14509.46,2808.6,18128.53,164.88022727272727,63.83181818181818,137.33734848484846
2021-01-16 00:00:00+00:00,89,43,132,5228922,2285710,7514632,14864.73,2968.18,18607.04,167.0194382022472,69.02744186046512,140.96242424242425
2021-01-16 04:00:00+00:00,89,43,132,5220334,2281110,7501444,15177.28,3128.49,19122.670000000002,170.5312359550562,72.75558139534883,144.86871212121213
2021-01-16 08:00:00+00:00,89,43,132,5220334,2281110,7501444,15533.28,3300.49,19650.67,174.5312359550562,76.75558139534883,148.8687121212121
2021-01-16 12:00:00+00:00,89,41,130,5220334,2258739,7479073,15889.279999999999,3416.86,20049.71,178.53123595505616,83.33804878048781,154.22853846153845
2021-01-16 16:00:00+00:00,90,43,133,5228325,2331779,7560104,16703.03,3586.0,21032.55,185.58922222222222,83.3953488372093,158.13947368421051
2021-01-16 20:00:00+00:00,89,43,132,5220838,2085930,7306768,17019.08,3651.23,21410.53,191.22561797752812,84.91232558139535,162.20098484848484
2021-01-17 00:00:00+00:00,89,43,132,5220838,2059993,7280831,17375.079999999998,3811.95,21927.28,195.22561797752806,88.64999999999999,166.11575757575756
2021-01-17 04:00:00+00:00,88,44,132,5216328,2064503,7280831,17687.81,3986.77,22455.28,200.9978409090909,90.60840909090909,170.11575757575756
2021-01-17 08:00:00+00:00,89,43,132,5268544,2188681,7457225,18043.19,4126.05,22949.84,202.73247191011234,95.9546511627907,173.86242424242425
2021-01-17 12:00:00+00:00,88,45,133,4940607,2363539,7304146,17832.19,4302.13,22998.84,202.63852272727271,95.60288888888888,172.9236090225564
2021-01-17 16:00:00+00:00,89,42,131,4991096,2211835,7202931,18184.32,4423.4,23443.87,204.318202247191,105.31904761904761,178.96083969465647
2021-01-17 20:00:00+00:00,88,45,133,4596385,2710947,7307332,17052.75,4600.72,22533.32,193.78125,102.23822222222223,169.42345864661655
2021-01-18 00:00:00+00:00,88,45,133,4596385,3003605,7599990,17404.75,4759.71,23003.87,197.78125,105.77133333333333,172.96142857142857
2021-01-18 04:00:00+00:00,114,107,221,5563861,6692013,12255874,15841.69,4467.03,23049.92,138.96219298245614,41.74794392523364,104.29828054298642
2021-01-18 08:00:00+00:00,121,105,226,5591935,6658747,12250682,16288.22,4654.1,23666.41,134.61338842975206,44.32476190476191,104.71862831858407
2021-01-18 12:00:00+00:00,125,105,230,5735304,6449096,12184400,16573.83,4283.67,23398.39,132.59064,40.79685714285714,101.7321304347826
2021-01-18 16:00:00+00:00,132,101,233,5642329,6453167,12095496,16949.04,4431.42,23533.16,128.4018181818182,43.87544554455446,101.00068669527897
2021-01-18 20:00:00+00:00,130,99,229,5522767,6484595,12007362,16846.440000000002,4144.21,23227.71,129.58800000000002,41.86070707070707,101.43104803493449
2021-01-19 00:00:00+00:00,124,97,221,5435174,6253114,11688288,15605.72,4091.75,22043.39,125.85258064516128,42.18298969072165,99.74384615384615
2021-01-19 04:00:00+00:00,123,100,223,5709988,6084542,11794530,15565.369999999999,4129.9800000000005,22116.88,126.54772357723576,41.299800000000005,99.1788340807175
2021-01-19 08:00:00+00:00,127,93,220,5815434,6025273,11840707,15888.689999999999,4155.08,22277.25,125.10779527559055,44.678279569892474,101.26022727272728
2021-01-19 12:00:00+00:00,132,99,231,6068294,6108991,12177285,15925.27,4354.72,22470.04,120.64598484848486,43.98707070707071,97.27290043290044
2021-01-19 16:00:00+00:00,143,101,244,6950396,6435889,13386285,17738.78,4472.45,24462.38,124.04741258741258,44.28168316831683,100.25565573770493
2021-01-19 20:00:00+00:00,136,92,228,6730608,5477506,12208114,18049.2,4311.389999999999,24121.19,132.71470588235294,46.86293478260869,105.79469298245614
2021-01-20 00:00:00+00:00,133,89,222,6685142,5355880,12041022,17370.1,4329.18,23336.309999999998,130.60225563909773,48.64247191011236,105.1185135135135
2021-01-20 04:00:00+00:00,138,90,228,7009982,5072344,12082326,17276.21,4322.54,23396.34,125.18992753623188,48.02822222222222,102.61552631578948
2021-01-20 08:00:00+00:00,138,90,228,7341686,5481548,12823234,17636.12,4426.3,23834.59,127.79797101449275,49.181111111111115,104.5376754385965
2021-01-20 12:00:00+00:00,134,86,220,7406059,4989599,12395658,17316.26,4379.88,23651.02,129.2258208955224,50.92883720930233,107.50463636363637
2021-01-20 16:00:00+00:00,128,81,209,7236286,4741520,11977806,16907.36,3806.94,22613.420000000002,132.08875,46.99925925925926,108.19818181818182
2021-01-20 20:00:00+00:00,139,82,221,7037452,5270601,12308053,17085.18,3723.61,22346.19,122.91496402877698,45.40987804878049,101.11398190045249
2021-01-21 00:00:00+00:00,145,81,226,6908090,5568874,12476964,17524.829999999998,3755.6600000000003,22781.8,120.86089655172412,46.36617283950618,100.80442477876106
2021-01-21 04:00:00+00:00,133,81,214,6812144,5830180,12642324,17722.95,3862.3700000000003,22991.48,133.25526315789475,47.683580246913586,107.43682242990654
2021-01-21 08:00:00+00:00,133,79,212,6668596,5622184,12290780,17469.82,3693.1200000000003,22964.59,131.35203007518797,46.74835443037975,108.32353773584906
2021-01-21 12:00:00+00:00,134,84,218,6716869,5807272,12524141,17731.5,3757.2100000000005,23088.47,132.32462686567163,44.72869047619048,105.9104128440367
2021-01-21 16:00:00+00:00,137,82,219,6906756,6055141,12961897,17925.33,3771.53,23211.87,130.84182481751827,45.99426829268293,105.99027397260274
2021-01-21 20:00:00+00:00,139,85,224,7223143,6330677,13553820,17703.48,3930.7499999999995,23623.260000000002,127.36316546762589,46.244117647058815,105.46098214285715
2021-01-22 00:00:00+00:00,141,81,222,7000301,5976459,12976760,17802.33,3957.04,23659.25,126.2576595744681,48.852345679012345,106.5731981981982
2021-01-22 04:00:00+00:00,139,82,221,7177791,5963894,13141685,18084.18,4080.53,24119.63,130.1020143884892,49.76256097560976,109.13859728506787
2021-01-22 08:00:00+00:00,136,84,220,7190635,5761865,12952500,18013.94,3852.2500000000005,23734.690000000002,132.45544117647057,45.86011904761905,107.88495454545456
2021-01-22 12:00:00+00:00,139,80,219,6883336,5446521,12329857,17557.28,3473.0099999999998,22862.25,126.31136690647482,43.412625,104.39383561643835
2021-01-22 16:00:00+00:00,143,91,234,7237552,5791781,13029333,17711.34,3423.21,22727.79,123.85552447552448,37.61769230769231,97.1273076923077
2021-01-22 20:00:00+00:00,136,85,221,7138666,5592136,12730802,17513.86,3329.7200000000003,22397.56,128.77838235294118,39.17317647058824,101.34642533936652
2021-01-23 00:00:00+00:00,129,88,217,6907727,5709384,12617111,16577.0,3429.28,22023.88,128.50387596899225,38.96909090909091,101.49253456221199
2021-01-23 04:00:00+00:00,125,94,219,6595843,5812536,12408379,16482.89,3548.7000000000003,22519.52,131.86312,37.75212765957447,102.82885844748859
2021-01-23 08:00:00+00:00,129,91,220,6525294,5823412,12348706,16628.41,3457.09,22610.62,128.9024031007752,37.99,102.77554545454545
